conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d9449998-c1f5-478c-a103-2255398cf0b6,skill/competence,transversal,aplicar normas de higiene,released,,"Assumir a responsabilidade pessoal de garantir um ambiente de trabalho e de vida seguro e livre de infeções, designadamente mediante a utilização de máscaras, desinfetantes e medidas gerais de higiene pessoal.
  ",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,aplicar aptidões e competências relacionadas com a saúde
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/db33c0f3-43ee-4ba3-ba47-9269ac837697,skill/competence,transversal,avaliar de forma crítica a informação e as suas fontes,released,,"Ser capaz de avaliar e analisar a informação e as suas fontes. Demonstrar capacidade para aceder e compreender de forma crítica os meios de comunicação tradicionais e os novos meios de comunicação social, bem como o seu papel e função nas sociedades democráticas.
  ",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,aplicar aptidões e competências cívicas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/dcc99418-d896-4b3b-8596-658093a17a8f,skill/competence,transversal,gerir doenças crónicas,released,,"Identificar e utilizar formas de minimizar os efeitos negativos de doenças crónicas para a saúde, incluindo a utilização de aparelhos de auxílio à visão, audição e marcha, os medicamentos corretos e apoio social e médico adequado.
  ",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,aplicar aptidões e competências relacionadas com a saúde
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/deb3c1bc-d48a-42e6-b0cc-cb238534ec28,skill/competence,transversal,aplicar conhecimentos das ciências sociais e humanas,released,,"Demonstrar uma compreensão da natureza, do pluralismo e da função de grupos sociais e políticos, bem como da sua relação com a dimensão socioeconómica da sociedade. Compreender o papel e o lugar dos indivíduos na sociedade.
  ",http://data.europa.eu/esco/skill/44ff6716-7d71-4a16-821b-61d10e9e290d,aplicar conhecimentos gerais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/df5e3d02-9f0f-44ee-91c2-85c62f161868,skill/competence,transversal,"promover ideias, produtos ou serviços",released,,"Apresentar e publicitar produtos, programas e serviços com o objetivo de persuadir e influenciar outros.
  ",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,comunicar
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e2d44a9b-f28c-489e-9861-b654b5ded507,skill/competence,transversal,motivar outras pessoas,released,,"Influenciar o comportamento de outras pessoas, indicando-lhes motivos convincentes para que tomem iniciativas.",http://data.europa.eu/esco/skill/fe5eabaa-63f6-4c44-b405-fc3ded8d56cb,liderar outras pessoas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e37d64dc-0f05-4ee8-b065-bf76f70d8f5c,skill/competence,transversal,respeitar obrigações de confidencialidade,released,,"Dar provas da discrição e da contenção necessárias no tratamento de informações confidenciais, secretas ou desagradáveis.
  ",http://data.europa.eu/esco/skill/925af2b5-2f4d-4cce-92cc-79e1ff887c7d,respeitar o código deontológico
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e49f4158-9d4c-425d-bf32-dfe89b19840a,skill/competence,transversal,planear,released,,"Gerir a sua agenda e recursos para concluir tarefas em tempo útil.
  ",http://data.europa.eu/esco/skill/66fdc34c-2326-4baa-b8ff-7a1d1015fe3a,planear e organizar
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ef7562b2-f176-4d7c-a0b2-27ae8cce0b7d,skill/competence,transversal,reagir a alterações ou perigos físicos,released,,"Reagir e responder rapidamente e de forma adequada a circunstâncias e estímulos externos ou internos.
  ",http://data.europa.eu/esco/skill/e52389a2-1a05-45b0-8db3-4bda0f0c0b48,responder a circunstâncias físicas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f4346299-e22a-4686-8e61-2c9b0cd51c7d,skill/competence,transversal,aplicar medidas de segurança digital,released,,"Aplicar formas simples de proteger dispositivos e conteúdos digitais.
  ",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,trabalhar com dispositivos e aplicações digitais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f4bcdb75-df28-441d-a52b-9730904f36a1,skill/competence,transversal,exercer direitos e responsabilidades,released,,"Conhecer e fazer uso dos direitos constitucionais e jurídicos, incluindo o dever de respeitar a lei, pagar impostos e prestar assistência, bem como o direito de voto, de ser eleito ou de ter um advogado de defesa presente em tribunal.
  ",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,aplicar aptidões e competências cívicas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fa46a48d-9cb9-422d-afab-1047654dbcdd,skill/competence,transversal,memorizar informações,released,memorizar procedimentos | memorizar factos | decorar informações,"Armazenar informações como palavras, números, imagens e procedimentos para posterior utilização.",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"processar informações, ideias e conceitos"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/fd89f784-88dc-4d35-abd7-86aa073cab12,skill/competence,transversal,manter abertura de espírito,released,,"Ter interesse nos problemas dos outros, mantendo um espírito aberto.
  ",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,demonstrar disponibilidade para aprender
